web-scraper-order,web-scraper-start-url,pages,links,links-href,title,description ,application open date,application closed date
1665477333-447,https://scholarships.unimelb.edu.au/?query=!padrenullx&sort=dmetadetailNumberAwarded&start_rank=1,,Paul Selzer Fellowship,https://scholarships.unimelb.edu.au/awards/paul-selzer-fellowship,Paul Selzer Fellowship,"The Paul Selzer alternates between a Fellowship (2020 and 2022) and Exhibition at (2021 and 2023).  The biennial Fellowships provide financial support for a mid-career artist across a 12 month period to support studio practice, with a public showing of new work at, or towards the completion of, this period.  The applicant must be a visual art graduate of the Faculty of Fine Arts and Music with preference to be given to artists whose work celebrates the human condition through education, inclusive of all communities, religions and cultures.
The Exhibition will to be held at a University of Melbourne Campus gallery in 2020 and 2022 and feature the works of visual art graduates from the Victorian College of the Arts, University of Melbourne with preference to be given to works that celebrate the human condition through education, inclusive of all communities, religions and cultures. The University will also award one or more prizes to artists shortlisted to exhibit work at the exhibition",No application is required. You will be automatically considered for this award.,"Single payment

        Full benefit details"
1665477336-448,https://scholarships.unimelb.edu.au/?query=!padrenullx&sort=dmetadetailNumberAwarded&start_rank=1,,John and Eric Smyth Travelling Scholarship (Alumni),https://scholarships.unimelb.edu.au/awards/john-and-eric-smyth-travelling-scholarship,John and Eric Smyth Travelling Scholarship (Alumni),"The prestigious John and Eric Smyth Travelling Scholarship supports recipients who show potential as a researcher or teacher who, in the opinion of the University, can enrich the teaching profession and the work of the school by study abroad.  The Alumni scholarship offers a stipend as well as travel, accommodation and tuition fees (if applicable) for a period of up to two years.  
The recipient can use the scholarship to support a study program overseas to study education and allied subjects at a university, study education systems at work and/or study a subject or problem which the University believes is directly related to the work of a teacher, or which will help in the advancement of education.",1-Nov-22,31-Jan-23
1665477339-449,https://scholarships.unimelb.edu.au/?query=!padrenullx&sort=dmetadetailNumberAwarded&start_rank=1,,Italian Australian Foundation Travel Scholarships,https://scholarships.unimelb.edu.au/awards/italian-australian-foundation-travel-scholarship,Italian Australian Foundation Travel Scholarships,"These scholarships support Faculty of Arts students of Italian descent, who are disadvantaged in their academic work by financial need, to travel to and study in Italy.",1-Jul-22,1-Aug-22
1665477343-450,https://scholarships.unimelb.edu.au/?query=!padrenullx&sort=dmetadetailNumberAwarded&start_rank=1,,Life Course Centre Pathways Scholarship,https://scholarships.unimelb.edu.au/awards/life-course-centre-pathways-scholarship,Life Course Centre Pathways Scholarship,"The award is established by the Australian Research Council Centre of Excellence for Children and Families over the Life Course (Life Course Centre). The scholarship is open to students enrolled in an honours thesis (or minor thesis, where an honours program does not exist) investigating a topic that aligns with Life Course Centre aims. The award is intended to encourage a pathway into further life course research.",1-Mar-22,1-Apr-22
1665477347-451,https://scholarships.unimelb.edu.au/?query=!padrenullx&sort=dmetadetailNumberAwarded&start_rank=1,,Inclusive Education Scholarships - Master of Learning Intervention,https://scholarships.unimelb.edu.au/awards/inclusive-education-scholarships,Inclusive Education Scholarships - Master of Learning Intervention,"The Department of Education and Training (DET) provides scholarships to Victorian government school teachers and eligible DET staff to undertake the Master of Learning Intervention at the University of Melbourne.  For full details, please refer to the Master of Inclusive Education Initiative on the DET website (link provided below).",1-Jan-22,31-Dec-23
1665477350-452,https://scholarships.unimelb.edu.au/?query=!padrenullx&sort=dmetadetailNumberAwarded&start_rank=1,,The Dawn Wade Scholarship,https://scholarships.unimelb.edu.au/awards/dawn-wade-scholarship,The Dawn Wade Scholarship,"Available through the generosity of the Dawn Wade Foundation, this scholarship supports rural students from the Western Victoria and Geelong area, in transitioning to living in Melbourne and tertiary study. 

Fee remission of $22,500 per year, for three years, at International House.",Applications are currently closed,"Application required
            
How to apply"
1665477352-453,https://scholarships.unimelb.edu.au/?query=!padrenullx&sort=dmetadetailNumberAwarded&start_rank=1,,Faculty of Arts Research and Graduate Studies Scheme (RAGS),https://scholarships.unimelb.edu.au/awards/faculty-of-arts-research-and-graduate-studies-scheme-rags,Faculty of Arts Research and Graduate Studies Scheme (RAGS),"RAGS, commonly referred to as School Funding, assists Faculty of Arts Doctor of Philosophy (PhD) and Masters by Research (MA) graduate researchers, and Masters by Coursework students with the School to enrich their research and candidature. Schools allocate a portion of their research budget for graduate use, in addition to the funds that support graduate journals and school conferences.",1-Jan-22,31-Dec-22
1665477354-454,https://scholarships.unimelb.edu.au/?query=!padrenullx&sort=dmetadetailNumberAwarded&start_rank=1,,Student Engagement Grants,https://scholarships.unimelb.edu.au/awards/student-engagement-grants,Student Engagement Grants,"The Student Engagement Grants (SEG) program supports student-led initiatives that aim to implement constructive change in the local, national or international community. The program includes the Peter McPhee Student Awards.",25-Mar-19,21-Apr-19
1665477357-455,https://scholarships.unimelb.edu.au/?query=!padrenullx&sort=dmetadetailNumberAwarded&start_rank=1,,Valerie and Lawrence Kennedy Scholarship,https://scholarships.unimelb.edu.au/awards/valerie-and-lawrence-kennedy-scholarship2,Valerie and Lawrence Kennedy Scholarship,"This scholarship will provide travelling support for Master of Teaching (Primary) teacher candidates who are undertaking regional, rural or remote placements in Australia, this may include placements in Indigenous communities. Support may also be made available for students undertaking international placements. Eligible applicants will be invited to apply.",1-Jan-22,1-Dec-22
1665477361-456,https://scholarships.unimelb.edu.au/?query=!padrenullx&sort=dmetadetailNumberAwarded&start_rank=1,,Science Abroad Travelling Scholarships,https://scholarships.unimelb.edu.au/awards/science-abroad-travelling-scholarships,Science Abroad Travelling Scholarships,"This scholarship supports PhD students in the Faculty of Science undertaking travel to attend conferences, fieldwork, etc. as part of a Study Away request.",13-Apr-22,30-Nov-22
1665477365-457,https://scholarships.unimelb.edu.au/?query=!padrenullx&sort=dmetadetailNumberAwarded&start_rank=1,,Harry Hains Memorial Film Bursary,https://scholarships.unimelb.edu.au/awards/harry-hains-memorial-film-bursary,Harry Hains Memorial Film Bursary,"These bursaries support the graduating film project for final year students enrolled in the Masters, Honours or Bachelor of Fine Arts (Film and Television) degrees at the Faculty of Fine Arts and Music who are in financial need.",27-Jun-22,14-Aug-22
1665477367-458,https://scholarships.unimelb.edu.au/?query=!padrenullx&sort=dmetadetailNumberAwarded&start_rank=1,,Behrend Memorial Travel Scholarships,https://scholarships.unimelb.edu.au/awards/Behrend-Memorial-Travel-Scholarships,Behrend Memorial Travel Scholarships,"This scholarship supports Master of Science students in the School of Mathematics and Statistics by providing funds for travel associated with research and study, including, but not limited to, participation in conferences or workshops.",8-Aug-22,30-Nov-22
1665477370-459,https://scholarships.unimelb.edu.au/?query=!padrenullx&sort=dmetadetailNumberAwarded&start_rank=1,,Australia Awards Scholarship,https://scholarships.unimelb.edu.au/awards/australia-awards-scholarship,Australia Awards Scholarship,"This scholarship is provided by the Australian Department of Foreign Affairs and Trade (DFAT) and available to students from developing countries to undertake full time undergraduate or postgraduate study at participating Australian universities, including the University of Melbourne.",1-Feb-23,30-Apr-23
1665477373-460,https://scholarships.unimelb.edu.au/?query=!padrenullx&sort=dmetadetailNumberAwarded&start_rank=1,,David Ashton Travel Award,https://scholarships.unimelb.edu.au/awards/david-ashton-travel-award,David Ashton Travel Award,"This scholarship is awarded to a student studying botany, within the School of BioSciences, and undertaking work in field plant ecology, in order to defray travel expenses.",24-Feb-22,28-Mar-22
1665477378-461,https://scholarships.unimelb.edu.au/?query=!padrenullx&sort=dmetadetailNumberAwarded&start_rank=1,,Jessie Webb Scholarship,https://scholarships.unimelb.edu.au/awards/the-jessie-webb-scholarship,Jessie Webb Scholarship,This scholarship allows a postgraduate student to travel to Greece to undertake a course of study at the British School at Athens or another similar school in Greece.,18-Apr-22,30-May-22
1665477381-462,https://scholarships.unimelb.edu.au/?query=!padrenullx&sort=dmetadetailNumberAwarded&start_rank=1,,Portland House Outreach Program,https://scholarships.unimelb.edu.au/awards/portland-house-outreach-program2,Portland House Outreach Program,"These bursaries assist vulnerable students of Theatre or Production degrees at the Faculty of Fine Arts and Music who are at risk, and enable them to become meaningfully engaged in their study.  Preference for first year students of Theatre or Production but subsequent year levels may be considered.",27-Jun-22,11-Sep-22
1665477384-463,https://scholarships.unimelb.edu.au/?query=!padrenullx&sort=dmetadetailNumberAwarded&start_rank=1,,Stephen Ho Bursary (Filmmaking),https://scholarships.unimelb.edu.au/awards/stephen-ho-bursary-filmmaking,Stephen Ho Bursary (Filmmaking),"These bursaries support the graduating film project for final year students enrolled in the Masters, Honours or Bachelor of Fine Arts (Film and Television) degrees at the Faculty of Fine Arts and Music who are in financial need.",27-Jun-22,14-Aug-22
1665477387-464,https://scholarships.unimelb.edu.au/?query=!padrenullx&sort=dmetadetailNumberAwarded&start_rank=1,,Scholarships for Early Childhood Professionals,https://scholarships.unimelb.edu.au/awards/early-childhood-scholarships,Scholarships for Early Childhood Professionals,The Victorian Government is investing $8 million to deliver an Early Childhood Scholarships Program to attract new early childhood teachers to the field and support existing educators who wish to upskill to a teaching qualification or gain a relevant postgraduate qualification.,1-Jan-19,1-Jul-22
1665477391-465,https://scholarships.unimelb.edu.au/?query=!padrenullx&sort=dmetadetailNumberAwarded&start_rank=1,,Rose Mant Scholarship,https://scholarships.unimelb.edu.au/awards/rose-mant-scholarship,Rose Mant Scholarship,"This scholarship supports students who are undergraduates or current graduates at the Conservatorium of Music, Faculty of Fine Arts and Music.",14-Feb-22,28-Mar-22
1665477393-466,https://scholarships.unimelb.edu.au/?query=!padrenullx&sort=dmetadetailNumberAwarded&start_rank=1,,Peter Steele Poetry Award,https://scholarships.unimelb.edu.au/awards/peter-steele-poetry-award2,Peter Steele Poetry Award,"The Peter Steele Poetry Award is a writing-up award for students who have submitted a thesis within the past five years, with preference given to PhD students. The award is for students who have included a poetry collection or verse novel as part of their thesis and may be used to support activities related to the preparation of a manuscript for submission or publication.",25-Jul-22,19-Aug-22
1665477395-467,https://scholarships.unimelb.edu.au/?query=!padrenullx&sort=dmetadetailNumberAwarded&start_rank=1,,Melbourne Welcome Grant,https://scholarships.unimelb.edu.au/awards/melbourne-welcome-grant,Melbourne Welcome Grant,"Enrolled international coursework and research students who have travelled to Australia will be able to receive the Melbourne Welcome Grant towards the cost of travel, quarantine and adjustment to study and life in Melbourne.",1-Dec-21,31-Dec-22
1665477398-468,https://scholarships.unimelb.edu.au/?query=!padrenullx&sort=dmetadetailNumberAwarded&start_rank=1,,MBS Deputy Dean Awards,https://scholarships.unimelb.edu.au/awards/mbs-deputy-dean-awards,MBS Deputy Dean Awards,"The MBS Deputy Dean Awards were established by the Faculty of Business and Economics for Academic Excellence and Community Leadership. It aims to recognise high achieving graduate students at the Melbourne Business School who demonstrate outstanding leadership skills and strong community engagement, both within and outside the University both during and prior to their MBS study period. Applications open in both Semester 1 and Semester 2 per year. There are up to three MBS Deputy Dean Awards available per semester, each valued at approximately $5,000!",1-Sep-22,1-Oct-22
1665477400-469,https://scholarships.unimelb.edu.au/?query=!padrenullx&sort=dmetadetailNumberAwarded&start_rank=1,,Mobility Awards,https://scholarships.unimelb.edu.au/awards/mobility-awards,Mobility Awards,The University of Melbourne offers a suite of scholarships and grants for current University of Melbourne students undertaking overseas study as part of their undergraduate or graduate coursework course. Some scholarships are awarded on academic merit and others to assist students who are experiencing disadvantaged circumstances.,10-May-21,31-Dec-22
1665477403-470,https://scholarships.unimelb.edu.au/?query=!padrenullx&sort=dmetadetailNumberAwarded&start_rank=1,,Annual Honours Research Essay Kinsman Studentship and Kinsman Prize,https://scholarships.unimelb.edu.au/awards/kinsman-studentship-and-prize,Annual Honours Research Essay Kinsman Studentship and Kinsman Prize,"The aim of this scholarship is to encourage honours students to develop their research essay so that it can be published in a refereed journal. Some essays require additional analysis, collection of additional data, or the refinement of the conceptual framework, while others may require rewrites. An additional objective of the scheme is to further develop the student's research skills and increase the possibility that the student may choose to undertake a research-based postgraduate degree. The scholarship requires the student to work jointly with a supervisor/advisor. This is a competitive, merit based award. Please note this studentship will be discontinued from 2021.",Applications are currently closed,"Application required
            
How to apply"
1665477406-471,https://scholarships.unimelb.edu.au/?query=!padrenullx&sort=dmetadetailNumberAwarded&start_rank=1,,"Australian Council for Health, Physical Education and Recreation (ACHPER Victoria) Award – Early Childhood and Primary (Health and Physical Education)","https://scholarships.unimelb.edu.au/awards/australian-council-for-health,-physical-education-and-recreation-achper-victoria-award-early-childhood-and-primary-health-and-physical-education","Australian Council for Health, Physical Education and Recreation (ACHPER Victoria) Award – Early Childhood and Primary (Health and Physical Education)",This prize is awarded to the graduating student in the Master of Teaching (Early Childhood and Primary) who achieved the most outstanding result for the Health and Physical Education subject.,No application is required. You will be automatically considered for this award.,"General allowance

        Full benefit details"
1665477409-472,https://scholarships.unimelb.edu.au/?query=!padrenullx&sort=dmetadetailNumberAwarded&start_rank=1,,"Australian Council for Health, Physical Education and Recreation (ACHPER Victoria) Award – Primary (Health and Physical Education)","https://scholarships.unimelb.edu.au/awards/o-australian-council-for-health,-physical-education-and-recreation-achper-victoria-award-primary-health-and-physical-education","Australian Council for Health, Physical Education and Recreation (ACHPER Victoria) Award – Primary (Health and Physical Education)",This prize is awarded to the graduating student in the Master of Teaching (Primary) who achieved the most outstanding result for the Health and Physical Education subject.,No application is required. You will be automatically considered for this award.,"General allowance

        Full benefit details"
1665477412-473,https://scholarships.unimelb.edu.au/?query=!padrenullx&sort=dmetadetailNumberAwarded&start_rank=1,,"Australian Council for Health, Physical Education and Recreation (ACHPER Victoria) Award - Secondary (Physical Education)","https://scholarships.unimelb.edu.au/awards/o-australian-council-for-health,-physical-education-and-recreation-achper-victoria-award-secondary-physical-education","Australian Council for Health, Physical Education and Recreation (ACHPER Victoria) Award - Secondary (Physical Education)",This prize is awarded to the student in the Master of Teaching (Secondary) who achieved the most outstanding result for the Physical Education learning area.,No application is required. You will be automatically considered for this award.,"General allowance

        Full benefit details"
1665477415-474,https://scholarships.unimelb.edu.au/?query=!padrenullx&sort=dmetadetailNumberAwarded&start_rank=1,,"Australian Council for Health, Physical Education and Recreation (ACHPER Victoria) Award - Secondary (Health)","https://scholarships.unimelb.edu.au/awards/o-australian-council-for-health,-physical-education-and-recreation-achper-victoria-award-secondary-health","Australian Council for Health, Physical Education and Recreation (ACHPER Victoria) Award - Secondary (Health)",This prize is awarded to the student in the Master of Teaching (Secondary) who achieved the most outstanding result for the Health learning area.,No application is required. You will be automatically considered for this award.,"General allowance

        Full benefit details"
1665477419-475,https://scholarships.unimelb.edu.au/?query=!padrenullx&sort=dmetadetailNumberAwarded&start_rank=1,,National Council of Jewish Women of Australia Fanny Reading Scholarship in Hebrew Language,https://scholarships.unimelb.edu.au/awards/national-council-of-jewish-women-of-australia-fanny-reading-scholarship-in-hebrew-language,National Council of Jewish Women of Australia Fanny Reading Scholarship in Hebrew Language,"One annual award to the highest ranked student in  beginners, intermediate or advanced Hebrew language subjects.",No application is required. You will be automatically considered for this award.,"Single payment

        Full benefit details"
1665477424-476,https://scholarships.unimelb.edu.au/?query=!padrenullx&sort=dmetadetailNumberAwarded&start_rank=1,,Measuring developmental outcomes for Aboriginal and Torres Strait Islander children - PhD Scholarship,https://scholarships.unimelb.edu.au/awards/measuring-developmental-outcomes-for-aboriginal-and-torres-strait-islander-children-phd-scholarship,Measuring developmental outcomes for Aboriginal and Torres Strait Islander children - PhD Scholarship,"The Indigenous Epidemiology and Health Unit, in the Centre for Epidemiology and Biostatistics is looking for a talented student to undertake a PhD focusing on the design, validation and evaluation of a psychometric measure to evaluate developmental outcomes in Australian Aboriginal children.

This PhD scholarship, worth approximately $105,000, is available for a appropriately qualified student to commence research in 2018 in this exciting area.",7-Jun-18,5-Aug-18
1665477427-477,https://scholarships.unimelb.edu.au/?query=!padrenullx&sort=dmetadetailNumberAwarded&start_rank=1,,"Indigenous Health, Applied Biostatistics and Geographic Information Systems (GIS) - PhD Scholarship","https://scholarships.unimelb.edu.au/awards/indigenous-health,-applied-biostatistics-and-geographic-information-systems-gis-phd-scholarship","Indigenous Health, Applied Biostatistics and Geographic Information Systems (GIS) - PhD Scholarship","The Indigenous Epidemiology and Health Unit, in the Centre for Epidemiology and Biostatistics is looking for a talented student to undertake a PhD focusing on geographic variation in Aboriginal and Torres Strait Islander early childhood health outcomes. 

This PhD scholarship, worth approximately $107,100, is available for a appropriately qualified student to commence research in 2019 in this exciting area.",1-Nov-18,27-Nov-18
1665477432-478,https://scholarships.unimelb.edu.au/?query=!padrenullx&sort=dmetadetailNumberAwarded&start_rank=1,,Ian Hansen - Victorian Association for the Teaching of English (VATE) Award,https://scholarships.unimelb.edu.au/awards/ian-hansen-victorian-association-for-the-teaching-of-english-vate-award,Ian Hansen - Victorian Association for the Teaching of English (VATE) Award,Awarded to the student in the Master of Teaching (Secondary) who achieved the highest aggregated mark in the English Learning Area.,No application is required. You will be automatically considered for this award.,"General allowance

        Full benefit details"
1665477435-479,https://scholarships.unimelb.edu.au/?query=!padrenullx&sort=dmetadetailNumberAwarded&start_rank=1,,Association of Women on Campus at the University of Melbourne Prize,https://scholarships.unimelb.edu.au/awards/association-of-women-on-campus-at-the-university-of-melbourne-prize,Association of Women on Campus at the University of Melbourne Prize,One annual award to the highest ranked student in a nominated Gender Studies subject.,No application is required. You will be automatically considered for this award.,"Single payment

        Full benefit details"
1665477438-480,https://scholarships.unimelb.edu.au/?query=!padrenullx&sort=dmetadetailNumberAwarded&start_rank=1,,Lionel Phillips and Takahiro Chikashima Graduate Scholarship for Asian Studies at Queen's College,https://scholarships.unimelb.edu.au/awards/lionel-phillips-and-takahiro-chikashima-graduate-scholarship-for-asian-studies,Lionel Phillips and Takahiro Chikashima Graduate Scholarship for Asian Studies at Queen's College,"The scholarship, worth up to $15 000 in college fee remission at Queen's College, supports an honours or a post-graduate student who is pursuing a degree in Japanese, Chinese or Korean language, history or culture or Australia's relations with Japan, China or Korea; or business or legal studies focusing on Japan, China or Korea.",21-Aug-20,10-Jan-21
1665477441-481,https://scholarships.unimelb.edu.au/?query=!padrenullx&sort=dmetadetailNumberAwarded&start_rank=1,,Robert M Fels Rotary Club of Melbourne Scholarship at International House,https://scholarships.unimelb.edu.au/awards/robert-m-fels-rotary-club-of-melbourne-scholarship-at-international-house,Robert M Fels Rotary Club of Melbourne Scholarship at International House,"Live at International House residential college while studying at the University of Melbourne. 

This scholarship supports commencing students with a fee remission of $14,400 at International House. 

It is provided by The Rotary Club of Melbourne in honour of prominent Rotarian and former Head of College Robert M Fels.",1-Aug-20,10-Jan-21
1665477443-482,https://scholarships.unimelb.edu.au/?query=!padrenullx&sort=dmetadetailNumberAwarded&start_rank=1,,Australian Education Union (AEU) Excellence in Classroom Teaching Award,https://scholarships.unimelb.edu.au/awards/australian-education-union-aeu-excellence-in-classroom-teaching-award,Australian Education Union (AEU) Excellence in Classroom Teaching Award,Awarded to a Master of Teaching (Secondary) student who has demonstrated outstanding results in the practicum component of the course in their first year.,No application is required. You will be automatically considered for this award.,"General allowance

        Full benefit details"
1665477446-483,https://scholarships.unimelb.edu.au/?query=!padrenullx&sort=dmetadetailNumberAwarded&start_rank=1,,Department of Management and Marketing Journal Publication Scholarship,https://scholarships.unimelb.edu.au/awards/department-of-management-and-marketing-journal-publication-scholarship,Department of Management and Marketing Journal Publication Scholarship,This scholarship is designed to support Department of Management & Marketing research higher degree (RHD) candidates during the preparation of journal articles or books based on the thesis submitted for their RHD. Conditions of the scholarship are determined by the Department of Management & Marketing as part of its research training program.,Applications are currently closed,"Application required
            
How to apply"
1665477448-484,https://scholarships.unimelb.edu.au/?query=!padrenullx&sort=dmetadetailNumberAwarded&start_rank=1,,Architects Registration Board of Victoria Professional Practice Award,https://scholarships.unimelb.edu.au/awards/architects-registration-board-of-victoria-professional-practice-award,Architects Registration Board of Victoria Professional Practice Award,"This award is for academic excellence in a subject that demonstrates specific knowledge, skills and industry preparedness related to architectural practice.",No application is required. You will be automatically considered for this award.,"Single payment

        Full benefit details"
1665477452-485,https://scholarships.unimelb.edu.au/?query=!padrenullx&sort=dmetadetailNumberAwarded&start_rank=1,,Neil Fraser Award for Indigenous Flora in Landscape Architecture,https://scholarships.unimelb.edu.au/awards/neil-fraser-award-for-indigenous-flora-in-landscape-architecture,Neil Fraser Award for Indigenous Flora in Landscape Architecture,"This award rewards academic excellence in studies that examines indigenous flora in urban or rural landscapes, with a preference for Australian indigenous flora.",No application is required. You will be automatically considered for this award.,"Single payment

        Full benefit details"
1665477455-486,https://scholarships.unimelb.edu.au/?query=!padrenullx&sort=dmetadetailNumberAwarded&start_rank=1,,Aboriginal and Torres Strait Islander PhD Scholarship – Curricula Project,https://scholarships.unimelb.edu.au/awards/aboriginal-and-torres-strait-islander-phd-scholarship-curricula-project,Aboriginal and Torres Strait Islander PhD Scholarship – Curricula Project,"The Aboriginal and Torres Strait Islander Curricula Project is a University of Melbourne initiative which aims to empower all teachers to integrate Aboriginal and Torres Strait Islander histories and cultures in their teaching through curriculum resources that incorporate Indigenous knowledge. With the support of the Commonwealth Government, the foundational body of work has been completed, delivering online resources for teachers in accordance with the requirements of the Australian curriculum framework.

The next phase of the project is to verify an approach to teaching the curriculum through research with a selection of schools and teachers, beginning in Victoria.
The Melbourne School of Graduate Education, in partnership with the Indigenous Studies Unit, is offering an eligible Aboriginal & Torres Strait Islander graduate research student a PhD position with our Curricula Project team to conduct this research project.",22-Jun-20,31-Jul-20
1665477458-487,https://scholarships.unimelb.edu.au/?query=!padrenullx&sort=dmetadetailNumberAwarded&start_rank=1,,Ray and Joyce Uebergang Foundation Scholarship at University College,https://scholarships.unimelb.edu.au/awards/ray-and-joyce-uebergang-foundation-scholarship-at-university-college,Ray and Joyce Uebergang Foundation Scholarship at University College,This scholarship is awarded to commencing undergraduate students from the Western District of Victoria with financial need.,19-Aug-19,31-Jan-20
